empresa,pais,logo,gerente,antecedentes
Maderera Pacífico Internacional S.R.L.,Perú,SinLogo2.png,"Vidalon Capcha Enrique (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", detalló que en el 2015 el 53% de documentos presentados por Pacífico Internacional a la SUNAT contienen información falsa para la exportación ilegal de madera."
Inversiones WCA E.I.R.L.,Perú,SinLogo2.png,"Castro Amaringo William (Loreto, Perú)",Inició sus actividades en el 2003. Está involucrada junto a otras empresas por el caso Yacu Kallpa donde en uno de los cinco cargamentos exportados en el 2015 se encontraron un total de 2903.389 m3 de madera ilegal. El 14% de este embarque era propiedad de Inversiones WCA.
Corporación Forestal Claudita S.A.C.,Perú,LaOroza.jpg,"Alpaca Campos Claudio Gustavo (Madre de Dios, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", Corporación Forestal Claudita tiene 21 Guías de Transporte Forestal (GTF) con un bajo riesgo de tener información falsa para el lavado de madera ilegal."
Miremi S.A.C.,Perú,ARBE LUMBER.jpg,"Castro Amaringo William (Loreto, Perú)","En febrero de este año, el gobierno de EE.UU, a través de una carta enviada por Robert Lighthizer, representante comercial de dicho país, pidió que se verifiquen tres envíos de madera provenientes de la amazonía peruana. Uno de los embarques pertenece a Miremi que arribó en Nueva York el año pasado. "
Desarrollo Forestal S.A.C.,Perú,MadereraVulcano.jpg,"Navarrete Rejas Hugo Javier (Loreto, Perú)",Empresa con actividades en el rubro desde 1996.
Universal Flooring S.A.C.,Perú,SinLogo2.png,Rong Kun,
Peruvian Flooring S.A.C.,Perú,SinLogo2.png,Ding Hao,"Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", de las 219 guías de transporte forestal (GTF) presentadas por Peruvian Flooring a la Sunat en el 2015, ocho de ellas son de origen ilegal. Además, existe un alto riesgo que de este mismo universo, catorce GTF también contengan información falsa para la exportación de madera ilícita."
Maderera Diaisi E.I.R.L.,Perú,SinLogo2.png,"Huang - Zhen Gang (Ucayali, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", hay ochos guías de transporte forestal (GTF) que han sido supervisadas donde se confirma que la madera exportada por Maderera Diasi en el 2015 es de origen ilegal, y hay otras cincuenta GTF del mismo año con un alto riesgo de tener origen ilícito."
Inversiones Técnicas Maderables S.A.C.,Perú,Inforhuay.jpg,"Kemish Freire Carlos Eduardo (Lima, Perú)","Según un análisis de la ONG Environmental Investigation Agency (EIA) presentado en su informe ""El momento de la verdad"", en el 2015, las 112 guías de transporte forestal (GTF) de Inversiones Técnicas Maderables presentadas a la Sunat tuvieron como destino a EEUU. De este total, cuatro de ellas tienen madera ilegal y existe en medio y alto riesgo que el 25% también lo tengan."
Inversiones La Oroza S.R.L.,Perú,MadereraRioAcre.jpg,"Ascencio Pomasunco Luis Angel (Lima, Perú)","Esta empresa tiene graves antecedentes respecto a la exportación de madera ilegal. El gobierno de EEUU bloqueó las importaciones de La Oroza en octubre de 2017. Años antes, la operación amazonas del 2015, conformada por entidades como Interpol, Sunat, Osinfor, entro otros; determinó que el 87.1% de sus exportaciones totales de este mismo año tienen origen ilegal. En el informe ""La máquina lavadora"" de Environmental Investigation Agency(EIA), Oroza Wood, empresa con los mismos dueños de Inversiones La Oroza, fue sancionada con el término de su concesión por inventar árboles en los lugares de extracción colocando ""tocones"" falsos."
